build,computer.platform,computer.touch,date,time,subject,group,sessionid,blockcode,blocknum,trialcode,latency,randStart,startPos,scrfunc,rtvspos,randStart,mag,freq,ev,inc,rng,startPos,fogPos1,fogPos2,chooseUncertainty1,chooseUncertainty2,uncertaintyCount1,uncertaintyCount2,blockCount,ntrials,trialCount,uncertaintyStart1,uncertaintyStart2,uncertainty_block,rt_shifted,totalPoints,totalEarnings,Earnings
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,2664,1,100,IEV,POS,1,,,,,,100,5,35,2,0,2,0,1,35,14,12,25,1,3610,627,50,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,100,IEV,POS,1,136,0.394595114,53.55888581,1,0.506428306,100,5,35,3,0,3,0,1,35,15,12,25,1,3914,628,51,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,509,1,43,IEV,POS,1,,,,,,43,5,35,3,0,3,0,1,35,15,12,25,1,3914,628,51,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,43,IEV,POS,1,135,0.395629946,53.52402099,1,0.406224762,43,5,35,4,0,4,0,1,35,16,12,25,0,3909,629,52,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,328,1,55,IEV,POS,1,,,,,,55,5,35,4,0,4,0,1,35,16,12,25,0,3909,629,52,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,55,IEV,POS,1,175,0.31057561,54.49040035,1,0.758264851,55,5,35,4,0,4,0,1,35,17,12,25,0,4328,630,53,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,3385,1,91,IEV,POS,1,,,,,,91,5,35,4,0,4,0,1,35,17,12,25,0,4328,630,53,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,91,IEV,POS,1,159,0.339154689,53.9181382,1,0.899267927,91,5,35,4,0,4,0,1,35,18,12,25,0,4185,631,54,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,640,1,43,IEV,POS,1,,,,,,43,5,35,4,0,4,0,1,35,18,12,25,0,4185,631,54,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,43,IEV,POS,1,143,0.368643851,52.55593757,1,0.506453423,43,5,35,4,0,4,0,1,35,19,12,25,0,4040,632,55,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,341,1,56,IEV,POS,1,,,,,,56,5,35,4,0,4,0,1,35,19,12,25,0,4040,632,55,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,56,IEV,POS,1,190,0.298170555,56.65060428,190,0.14427549,56,5,35,4,0,4,0,1,35,20,12,25,0,4391,822,65,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,2485,1,13,IEV,POS,1,,,,,,13,5,35,4,0,4,0,1,35,20,12,25,0,4391,822,65,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,13,IEV,POS,1,186,0.299346714,55.72506126,1,0.797665798,13,5,35,4,0,4,0,1,35,21,12,25,0,4385,823,66,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,1248,1,23,IEV,POS,1,,,,,,23,5,35,4,0,4,0,1,35,21,12,25,0,4385,823,66,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,23,IEV,POS,1,109,0.449982031,48.84535648,1,0.62743989,23,5,35,4,0,4,0,1,35,22,12,25,0,3648,824,67,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,2189,1,99,IEV,POS,1,,,,,,99,5,35,4,0,4,0,1,35,22,12,25,0,3648,824,67,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,99,IEV,POS,1,97,0.504020011,48.78166039,97,0.066527017,99,5,35,4,0,4,0,1,35,23,12,25,0,3389,921,74,7
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,355,1,44,IEV,POS,1,,,,,,44,5,35,4,0,4,0,1,35,23,12,25,0,3389,921,74,7
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,44,IEV,POS,1,124,0.417222241,51.93824396,1,0.714675947,44,5,35,4,0,4,0,1,35,24,12,25,0,3805,922,75,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_noU,4211,1,78,IEV,POS,1,,,,,,78,5,35,4,0,4,0,1,35,24,12,25,0,3805,922,75,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_noU,1000,1,78,IEV,POS,1,178,0.304062581,54.0789958,178,0.257778734,78,5,35,4,0,4,0,1,35,25,12,25,2,4361,1100,85,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,4681,1,70,IEV,POS,1,,,,,,70,5,35,4,0,4,0,1,35,25,12,25,2,4361,1100,85,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,70,IEV,POS,1,193,0.290358882,55.9588347,1,0.345842992,70,5,35,4,0,4,1,1,35,26,12,25,2,4431,1101,86,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,4860,1,67,IEV,POS,1,,,,,,67,5,35,4,0,4,1,1,35,26,12,25,2,4431,1101,86,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,67,IEV,POS,1,194,0.284728141,55.24717384,194,0.159925411,67,5,35,4,0,4,2,1,35,27,12,25,2,4460,1295,96,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,4679,1,69,IEV,POS,1,,,,,,69,5,35,4,0,4,2,1,35,27,12,25,2,4460,1295,96,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,69,IEV,POS,1,184,0.300524002,55.39334343,1,0.922798054,69,5,35,4,0,4,3,1,35,28,12,25,2,4379,1296,97,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,4155,1,81,IEV,POS,1,,,,,,81,5,35,4,0,4,3,1,35,28,12,25,2,4379,1296,97,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,81,IEV,POS,1,200,0.285696958,57.21983914,200,0.010982529,81,5,35,4,0,4,4,1,35,29,12,25,2,4455,1496,107,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,1075,1,43,IEV,POS,1,,,,,,43,5,35,4,0,4,4,1,35,29,12,25,2,4455,1496,107,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,43,IEV,POS,1,196,0.28182676,55.32813665,196,0.074397577,43,5,35,4,0,4,5,1,35,30,12,25,2,4475,1692,117,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,3702,1,92,IEV,POS,1,,,,,,92,5,35,4,0,4,5,1,35,30,12,25,2,4475,1692,117,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,92,IEV,POS,1,212,0.267055953,56.52907699,1,0.732837182,92,5,35,4,0,4,6,1,35,31,12,25,2,4552,1693,118,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,415,1,61,IEV,POS,1,,,,,,61,5,35,4,0,4,6,1,35,31,12,25,2,4552,1693,118,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,61,IEV,POS,1,243,0.236511169,57.43545991,1,0.576701569,61,5,35,4,0,4,7,1,35,32,12,25,2,4715,1694,119,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,652,1,47,IEV,POS,1,,,,,,47,5,35,4,0,4,7,1,35,32,12,25,2,4715,1694,119,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,47,IEV,POS,1,169,0.325695669,54.99508788,169,0.006621848,47,5,35,4,0,4,8,1,35,33,12,25,2,4252,1863,129,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,320,1,59,IEV,POS,1,,,,,,59,5,35,4,0,4,8,1,35,33,12,25,2,4252,1863,129,10
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,59,IEV,POS,1,203,0.273169072,55.56496831,1,0.492837128,59,5,35,4,0,4,9,1,35,34,12,25,2,4520,1864,130,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,experiment_U,3217,1,97,IEV,POS,1,,,,,,97,5,35,4,0,4,9,1,35,34,12,25,2,4520,1864,130,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,2,dispFeedback_U,1000,1,97,IEV,POS,1,174,0.312753828,54.42370058,1,0.556688379,97,5,35,4,0,4,10,1,35,35,12,25,2,4317,1865,131,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,1534,1,29,DEV,POS,1,,,,,,29,50,15,0,0,0,0,2,36,0,9,31,2,4317,1865,131,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,29,DEV,POS,1,88,0.260985621,22.97692695,1,0.441028427,29,50,15,0,0,0,0,2,36,1,9,31,0,4234,1866,132,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,495,1,47,DEV,POS,1,,,,,,47,50,15,0,0,0,0,2,36,1,9,31,0,4234,1866,132,1
